Tool,Material,Process
Blowtorch / Lamp,Carbon Fiber / Fiberglass / Kevlar,Bending
Soldering / Heating Irons,Carbon Fiber / Fiberglass / Kevlar,Bending
Molds / Forms / Casts,Carbon Fiber / Fiberglass / Kevlar,Casting
Chemical Adhesives,Carbon Fiber / Fiberglass / Kevlar,Composition
Epoxy / Synthetic Resins,Carbon Fiber / Fiberglass / Kevlar,Composition
Presses / Brakes,Carbon Fiber / Fiberglass / Kevlar,Creasing / Pleating
Laser,Carbon Fiber / Fiberglass / Kevlar,Cutting
Saw,Carbon Fiber / Fiberglass / Kevlar,Cutting
Scoring Edge / Tool,Carbon Fiber / Fiberglass / Kevlar,Cutting
Shears / Snips / Scissors,Carbon Fiber / Fiberglass / Kevlar,Cutting
Drill / Drill Press,Carbon Fiber / Fiberglass / Kevlar,Drilling
Abrasives / Grinders,Carbon Fiber / Fiberglass / Kevlar,Etching
Laser,Carbon Fiber / Fiberglass / Kevlar,Etching
Chemical Adhesives,Carbon Fiber / Fiberglass / Kevlar,Laminating / Fusing
Epoxy / Synthetic Resins,Carbon Fiber / Fiberglass / Kevlar,Laminating / Fusing
Lathe,Carbon Fiber / Fiberglass / Kevlar,Milling
Mill / Milling Machine,Carbon Fiber / Fiberglass / Kevlar,Milling
Paints / Inks,Carbon Fiber / Fiberglass / Kevlar,Painting / Inking
Needle,Carbon Fiber / Fiberglass / Kevlar,Sewing
Sewing Machine,Carbon Fiber / Fiberglass / Kevlar,Sewing
Stains / Dyes,Carbon Fiber / Fiberglass / Kevlar,Staining / Dyeing
3D Printer,Clays / Polymers,3D Printing
,Clays / Polymers,Bending
Molds / Forms / Casts,Clays / Polymers,Casting
Chemical Adhesives,Clays / Polymers,Composition
Epoxy / Synthetic Resins,Clays / Polymers,Composition
Laser,Clays / Polymers,Cutting
Saw,Clays / Polymers,Cutting
Scoring Edge / Tool,Clays / Polymers,Cutting
Shears / Snips / Scissors,Clays / Polymers,Cutting
Drill / Drill Press,Clays / Polymers,Drilling
Abrasives / Grinders,Clays / Polymers,Etching
Chemical Etchant / Solvent,Clays / Polymers,Etching
Laser,Clays / Polymers,Etching
Chemical Adhesives,Clays / Polymers,Laminating / Fusing
Epoxy / Synthetic Resins,Clays / Polymers,Laminating / Fusing
Lathe,Clays / Polymers,Milling
Mill / Milling Machine,Clays / Polymers,Milling
,Clays / Polymers,Molding / Forging
Paints / Inks,Clays / Polymers,Painting / Inking
Needle ,Clays / Polymers,Sewing
Stains / Dyes,Clays / Polymers,Staining / Dyeing
Lathe,Clays / Polymers,Turning
,Clays / Polymers,Weaving / Braiding / Twisting
3D Printer,Epoxy / Synthetic Resins,3D Printing
Blowtorch / Lamp,Epoxy / Synthetic Resins,Bending
Soldering / Heating Irons,Epoxy / Synthetic Resins,Bending
Knives / Chisels / Gouges,Epoxy / Synthetic Resins,Carving
Molds / Forms / Casts,Epoxy / Synthetic Resins,Casting
Laser,Epoxy / Synthetic Resins,Cutting
Saw,Epoxy / Synthetic Resins,Cutting
Scoring Edge / Tool,Epoxy / Synthetic Resins,Cutting
Drill / Drill Press,Epoxy / Synthetic Resins,Drilling
Abrasives / Grinders,Epoxy / Synthetic Resins,Etching
Chemical Etchant / Solvent,Epoxy / Synthetic Resins,Etching
Laser,Epoxy / Synthetic Resins,Etching
Soldering / Heating Irons,Epoxy / Synthetic Resins,Etching
Chemical Adhesives,Epoxy / Synthetic Resins,Laminating / Fusing
Epoxy / Synthetic Resins,Epoxy / Synthetic Resins,Laminating / Fusing
Lathe,Epoxy / Synthetic Resins,Milling
Mill / Milling Machine,Epoxy / Synthetic Resins,Milling
Paints / Inks,Epoxy / Synthetic Resins,Painting / Inking
Stains / Dyes,Epoxy / Synthetic Resins,Staining / Dyeing
Lathe,Epoxy / Synthetic Resins,Turning
Blowtorch / Lamp,Epoxy / Synthetic Resins,Welding
Epoxy / Synthetic Resins,Fibers,Casting
Molds / Forms / Casts,Fibers,Casting
Chemical Adhesives,Fibers,Composition
Epoxy / Synthetic Resins,Fibers,Composition
Needle,Fibers,Felting
Blowtorch / Lamp,Fibers,Laminating / Fusing
Chemical Adhesives,Fibers,Laminating / Fusing
Epoxy / Synthetic Resins,Fibers,Laminating / Fusing
Soldering / Heating Irons,Fibers,Laminating / Fusing
Spinning Wheel,Fibers,Spinning
Stains / Dyes,Fibers,Staining / Dyeing
,Fibers,Weaving / Braiding / Twisting
3D Printer,Glass,3D Printing
Blowtorch / Lamp,Glass,Bending
Blowtorch / Lamp,Glass,Blowing
